timestamp,queue,dominant_emotion,neg_count,flagged,recommendation
2026-05-17 22:33:57,Queue 2,Neutral,0,False,All Good
2026-05-17 22:33:57,Queue 3,Neutral,0,False,All Good
2026-05-17 22:34:12,Counter,Neutral,0,False,All Good
2026-05-17 22:34:12,Queue 1,Happy,6,True,Service Quality Check Required
2026-05-17 22:34:12,Queue 2,Neutral,0,False,All Good
2026-05-17 22:34:12,Queue 3,Neutral,0,False,All Good
2026-05-17 22:34:25,Counter,Neutral,0,False,All Good
2026-05-17 22:34:25,Queue 1,Neutral,0,False,All Good
2026-05-17 22:34:25,Queue 2,Neutral,0,False,All Good
2026-05-17 22:34:25,Queue 3,Neutral,0,False,All Good
2026-05-17 22:34:38,Counter,Neutral,0,False,All Good
2026-05-17 22:34:38,Queue 1,Neutral,0,False,All Good
2026-05-17 22:34:38,Queue 2,Neutral,0,False,All Good
2026-05-17 22:34:38,Queue 3,Neutral,0,False,All Good
2026-05-17 22:34:50,Counter,Neutral,0,False,All Good
2026-05-17 22:34:50,Queue 1,Neutral,0,False,All Good
2026-05-17 22:34:50,Queue 2,Neutral,0,False,All Good
2026-05-17 22:34:50,Queue 3,Neutral,0,False,All Good
2026-05-17 22:35:46,Counter,Neutral,0,False,All Good
2026-05-17 22:35:46,Queue 1,Neutral,0,False,All Good
2026-05-17 22:35:46,Queue 2,Neutral,0,False,All Good
2026-05-17 22:35:46,Queue 3,Neutral,0,False,All Good
2026-05-17 22:35:58,Counter,Neutral,0,False,All Good
2026-05-17 22:35:58,Queue 1,Neutral,0,False,All Good
2026-05-17 22:35:58,Queue 2,Neutral,0,False,All Good
2026-05-17 22:35:58,Queue 3,Neutral,0,False,All Good
2026-05-17 22:36:11,Counter,Neutral,0,False,All Good
2026-05-17 22:36:11,Queue 1,Neutral,17,False,All Good
2026-05-17 22:36:11,Queue 2,Neutral,0,False,All Good
2026-05-17 22:36:11,Queue 3,Neutral,0,False,All Good
2026-05-17 22:36:25,Counter,Neutral,0,False,All Good
2026-05-17 22:36:25,Queue 1,Neutral,11,False,All Good
2026-05-17 22:36:25,Queue 2,Neutral,0,False,All Good
2026-05-17 22:36:25,Queue 3,Neutral,0,False,All Good
2026-05-17 22:36:37,Counter,Neutral,0,False,All Good
2026-05-17 22:36:37,Queue 1,Sad,39,False,All Good
2026-05-17 22:36:37,Queue 2,Neutral,0,False,All Good
2026-05-17 22:36:37,Queue 3,Neutral,0,False,All Good
2026-05-17 22:36:50,Counter,Neutral,0,False,All Good
2026-05-17 22:36:50,Queue 1,Sad,3,False,All Good
2026-05-17 22:36:50,Queue 2,Neutral,0,False,All Good
2026-05-17 22:36:50,Queue 3,Neutral,0,False,All Good
2026-05-17 22:37:04,Counter,Neutral,0,False,All Good
2026-05-17 22:37:04,Queue 1,Neutral,0,False,All Good
2026-05-17 22:37:04,Queue 2,Neutral,0,False,All Good
2026-05-17 22:37:04,Queue 3,Neutral,0,False,All Good
2026-05-17 22:37:16,Counter,Neutral,0,False,All Good
2026-05-17 22:37:16,Queue 1,Neutral,0,False,All Good
2026-05-17 22:37:16,Queue 2,Neutral,0,False,All Good
2026-05-17 22:37:16,Queue 3,Neutral,0,False,All Good
2026-05-17 22:37:29,Counter,Neutral,0,False,All Good
2026-05-17 22:37:29,Queue 1,Sad,6,False,All Good
2026-05-17 22:37:29,Queue 2,Neutral,0,False,All Good
2026-05-17 22:37:29,Queue 3,Neutral,0,False,All Good
2026-05-17 22:37:42,Counter,Neutral,0,False,All Good
2026-05-17 22:37:42,Queue 1,Happy,0,False,All Good
2026-05-17 22:37:42,Queue 2,Neutral,0,False,All Good
2026-05-17 22:37:42,Queue 3,Neutral,0,False,All Good
2026-05-17 22:37:55,Counter,Neutral,0,False,All Good
2026-05-17 22:37:55,Queue 1,Neutral,0,False,All Good
2026-05-17 22:37:55,Queue 2,Neutral,0,False,All Good
2026-05-17 22:37:55,Queue 3,Neutral,0,False,All Good
2026-05-17 22:38:49,Counter,Neutral,0,False,All Good
2026-05-17 22:38:49,Queue 1,Neutral,0,False,All Good
2026-05-17 22:38:49,Queue 2,Neutral,0,False,All Good
2026-05-17 22:38:49,Queue 3,Neutral,0,False,All Good
2026-05-17 22:39:04,Counter,Neutral,0,False,All Good
2026-05-17 22:39:04,Queue 1,Neutral,0,False,All Good
2026-05-17 22:39:04,Queue 2,Neutral,0,False,All Good
2026-05-17 22:39:04,Queue 3,Neutral,0,False,All Good
2026-05-17 22:39:17,Counter,Neutral,0,False,All Good
2026-05-17 22:39:17,Queue 1,Sad,6,False,All Good
2026-05-17 22:39:17,Queue 2,Neutral,0,False,All Good
2026-05-17 22:39:17,Queue 3,Neutral,0,False,All Good
2026-05-17 22:39:30,Counter,Neutral,0,False,All Good
2026-05-17 22:39:30,Queue 1,Happy,7,False,All Good
2026-05-17 22:39:30,Queue 2,Neutral,0,False,All Good
2026-05-17 22:39:30,Queue 3,Neutral,0,False,All Good
2026-05-17 22:39:43,Counter,Neutral,0,False,All Good
2026-05-17 22:39:43,Queue 1,Angry,20,False,All Good
2026-05-17 22:39:43,Queue 2,Neutral,0,False,All Good
2026-05-17 22:39:43,Queue 3,Neutral,0,False,All Good
2026-05-17 22:39:56,Counter,Neutral,0,False,All Good
2026-05-17 22:39:56,Queue 1,Neutral,2,False,All Good
2026-05-17 22:39:56,Queue 2,Neutral,0,False,All Good
2026-05-17 22:39:56,Queue 3,Neutral,0,False,All Good
2026-05-17 22:40:08,Counter,Neutral,0,False,All Good
2026-05-17 22:40:08,Queue 1,Neutral,7,False,All Good
2026-05-17 22:40:08,Queue 2,Neutral,0,False,All Good
2026-05-17 22:40:08,Queue 3,Neutral,0,False,All Good
2026-05-17 22:40:21,Counter,Neutral,0,False,All Good
2026-05-17 22:40:21,Queue 1,Neutral,0,False,All Good
2026-05-17 22:40:21,Queue 2,Neutral,0,False,All Good
2026-05-17 22:40:21,Queue 3,Neutral,0,False,All Good
2026-05-17 22:40:34,Counter,Neutral,0,False,All Good
2026-05-17 22:40:34,Queue 1,Neutral,0,False,All Good
2026-05-17 22:40:34,Queue 2,Neutral,0,False,All Good
2026-05-17 22:40:34,Queue 3,Neutral,0,False,All Good
